item type,product name,sku,vendor name,brand,category_1,category_2,category_3,category_4,category_5,end_category,Prod description,description,features,Specifications (Name: Value),varation 1 name,varation 1 value,varation 2 name,varation 2 value,varation 3 name,varation 3 value,varation 4 name,varation 4 value,varation 5 name,varation 5 value,unit price,cost price,stock quantity,min order qty,max order qty,unit of measure,image url,is visible,is active
Product,"Wur Super Fine Aluminum Oxide ProFoam Sanding Pad, 3"" x 4"" x 5mm",SP3X4PF5SFP,wurthlac,Wur,Hardwares,Abrasives,Sanding Pad,,,Sanding Pad,"Super Fine sanding pad for professional finishing","The Super Fine Aluminum Oxide ProFoam Sanding Pad delivers consistent ultra-smooth sanding performance for professional finishing applications. Designed with a flexible foam core it conforms easily to contoured and flat surfaces.","Super Fine+ grit sanding pad | Hook and loop attachment | Premium pre-stressed minerals | Flexible catalyzed multi-layered adhesive | Self-sharpening grains for longer life","Box Quantity: 25 | Grit: 600-700 | Grit Grade: Super Fine+ | Color: Red | Length: 4in | Thickness: 5mm | Width: 3in | Material: Aluminum Oxide",,,,,,,,,,,36.05,28.84,100,1,50,unit,https://cdn.shopify.com/s/files/1/0912/7247/8904/files/SP3X4PF5SFP.avif?v=1761144038,TRUE,TRUE
Product,MA Laila Ivory Braided Wool Rug,MA-LAILA-I,MissAmara,MA,Home & Garden,Decor,Rugs,,,Rugs,"Hand braided wool rug","Laila is a stunning ivory rug hand braided to order from soft felted wool and backed with knotted cotton. While inspired by a contemporary Scandinavian look this range of wool rugs has been constructed using ancient rug creation techniques.","Hand-crafted from premium natural wool | Braided texture adds depth and character | Soft underfoot while offering excellent durability | Neutral ivory tone complements wide range of interior styles | Naturally stain-resistant and easy to maintain","Material: 100% Wool | Construction: Hand-braided | Color: Ivory | Shape: Rectangle | Texture: Braided | Style: Modern/Transitional | Indoor use only | Pile Height: approx. 15mm",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/7247/8904/files/laila-full.jpg?v=1761120922,TRUE,TRUE
Variant,,MA-LAILA-I-230-160-R,,,,,,,,,,,,,Size,230 x 160 cm,Color,Red,,,,,,,699,559.2,100,1,50,unit,https://cdn.shopify.com/s/files/1/0912/7247/8904/files/laila-lounge-cropped-insitu.jpg?v=1761120922,TRUE,TRUE
Variant,,MA-LAILA-I-280-190-R,,,,,,,,,,,,,,280 x 190 cm,,Red,,,,,,,1099,879.2,100,1,50,unit,https://cdn.shopify.com/s/files/1/0912/7247/8904/files/laila-lounge-decor-insitu_3ui3k6.jpg?v=1761120922,TRUE,TRUE
Variant,,MA-LAILA-I-330-240-R,,,,,,,,,,,,,,330 x 240 cm,,Red,,,,,,,1749,1399.2,100,1,50,unit,,TRUE,TRUE
Variant,,MA-LAILA-I-400-300-R,,,,,,,,,,,,,,400 x 300 cm,,Red,,,,,,,2649,2119.2,100,1,50,unit,,TRUE,TRUE
Variant,,MA-LAILA-I-230-160-O,,,,,,,,,,,,,,230 x 160 cm,,Orange,,,,,,,699,559.2,100,1,50,unit,,TRUE,TRUE
Variant,,MA-LAILA-I-280-190-O,,,,,,,,,,,,,,280 x 190 cm,,Orange,,,,,,,1099,879.2,100,1,50,unit,,TRUE,TRUE
Variant,,MA-LAILA-I-330-240-O,,,,,,,,,,,,,,330 x 240 cm,,Orange,,,,,,,1749,1399.2,100,1,50,unit,,TRUE,TRUE
Variant,,MA-LAILA-I-400-300-O,,,,,,,,,,,,,,400 x 300 cm,,Orange,,,,,,,2649,2119.2,100,1,50,unit,,TRUE,TRUE
